 LaLiga Santander, Real Madrid, Cristiano Ronaldo, Portugal
 Premier League, Middlesbrough, Adama, Spain
 Liga Dimayor, Once Caldas, José Cuadrado, Colombia
 LIGA Bancomer MX, Tigres U.A.N.L., Francisco Meza, Colombia
 Campeonato Scotiabank, Colo-Colo, Claudio Baeza, Chile
 Liga Dimayor, Independiente Medellín, Didier Moreno, Colombia
 LIGA Bancomer MX, Club León, Andrés Andrade, Colombia
 Liga Dimayor, Deportes Tolima, Angelo Rodríguez, Colombia
 Campeonato Scotiabank, CD O'Higgins, Albert Acevedo, Chile
 Campeonato Scotiabank, Universidad de Chile, Sebastián Martínez, Chile
 Campeonato Scotiabank, CD Palestino, Leonardo Valencia, Chile
 LIGA Bancomer MX, Santos Laguna, Mauricio Cuero, Colombia
 Major League Soccer, Seattle Sounders FC, Román Torres, Panama
 Liga Dimayor, Independiente Medellín, Marlon Piedrahita, Colombia
 Liga Dimayor, Atlético Nacional, Elkin Blanco, Colombia
 LIGA Bancomer MX, Deportivo Toluca, Rodrigo Gómez, Argentina
 Campeonato Scotiabank, Universidad de Chile, Lorenzo Reyes, Chile
 Primera División, Racing Club, Diego González, Argentina
 Campeonato Scotiabank, Universidad de Chile, Franz Schultz, Chile
 Primera División, Rosario Central, Diego Rodríguez, Argentina
 Primera División, Club Atlético Lanús, Diego Braghieri, Argentina
 Primera División, Boca Juniors, Fernando Zuqui, Argentina
 Primera División, Racing Club, Francisco Cerro, Argentina
 Primera División, Boca Juniors, Jonathan Silva, Argentina
 Ligue 1, AS Monaco Football Club SA, Guido Carrillo, Argentina
 Calcio A, Udinese, Lucas Evangelista, Brazil
 Liga NOS, FC Paços de Ferreira, Filipe Ferreira, Portugal
 LaLiga Santander, FC Barcelona, Marlon Santos, Brazil
 Campeonato Scotiabank, CD Universidad de Concepción, Renato González, Chile
 Primera División, Patronato, Gabriel Vargas, Chile
 Calcio B, Carpi, Riccardo Gagliolo, Italy
 Calcio B, Carpi, Lorenzo Pasciuti, Italy
 Eredivisie, SC Heerenveen, Joost van Aken, Holland
 LaLiga 1 I 2 I 3, R. Oviedo, Óscar Gil, Spain
 Calcio B, Avellino, Alejandro González, Uruguay
 Primera División, Rosario Central, Hernán Menosse, Uruguay
 Major League Soccer, Philadelphia Union, Andre Blake, Jamaica
 Primera División, Racing Club, Sergio Vittor, Argentina
 Calcio A, Udinese, Stipe Perica, Croatia
 LaLiga Santander, CD Leganés, Robert Ibáñez, Spain
 Liga Dimayor, Junior FC, Yony González, Colombia
 Liga NOS, CS Marítimo, Alex Soares, Portugal
 LaLiga 1 I 2 I 3, Levante UD, Chema Rodríguez, Spain
 Major League Soccer, Portland Timbers, Fanendo Adi, Nigeria
 Primera División, Independiente, Jorge Figal, Argentina
 Eredivisie, Roda JC Kerkrade, Abdul Ajagun, Nigeria
 LaLiga Santander, Real Betis, Alex Alegría, Spain
 Calcio A, Juventus, Federico Mattiello, Italy
 Eredivisie, Feyenoord, Renato Tapia, Peru
 LaLiga Santander, Granada CF, Gastón Silva, Uruguay
 LaLiga Santander, Granada CF, Ezequiel Ponce, Argentina
 Liga Dimayor, Junior FC, Alexis Pérez, Colombia
 Major League Soccer, Montreal Impact, Víctor Cabrera, Argentina
 Liga NOS, FC Paços de Ferreira, Minhoca, Portugal
 Ligue 1, Sporting Club de Bastia, Enzo Crivelli, France
 Major League Soccer, FC Dallas, Carlos Gruezo, Ecuador
 LaLiga 1 I 2 I 3, AD Alcorcón, Nélson, Portugal
 Liga NOS, Chaves, Braga, Portugal
 Eredivisie, Ajax, Diederik Boer, Holland
 Ligue 1, Stade Malherbe Caen, Steed Malbranque, France
 Scottish Premiership, Celtic, Dorus de Vries, Holland
 Allsvenskan, Malmö FF, Johan Wiland, Sweden
 Raiffeisen Super League, BSC Young Boys, Steve von Bergen, Switzerland
 Alka Superliga, FC København, Mikael Antonsson, Sweden
 Calcio B, Perugia, Matteo Brighi, Italy
 Ligue 1, Montpellier Hérault SC, Souleymane Camara, Senegal
 LaLiga 1 I 2 I 3, CD Numancia, Julio Álvarez, Venezuela
 Alka Superliga, Terek Grozny, Luke Wilkshire, Australia
 Domino’s Ligue 2, Athlétic Club Ajaccio, Johan Cavalli, France
 Belgium Pro League, Sporting Lokeren, Mijat Marić, Switzerland
 Raiffeisen Super League, BSC Young Boys, Alain Rochat, Switzerland
 Ligue 1, Stade Malherbe Caen, Alaeddine Yahia, Tunisia
 Allsvenskan, IFK Norrköping, Daniel Sjölund, Finland
 Alka Superliga, Júbilo Iwata, Jay Bothroyd, England
 EFL Championship, Birmingham City, Tomasz Kuszczak, Poland
 Ekstraklasa, Wisła Kraków, Paweł Brożek, Poland
 Domino’s Ligue 2, Gazélec Football Club Ajaccio, Clément Maury, France
 Süper Lig, Alanyaspor, Carlos García, Spain
 Ligue 1, AS Nancy Lorraine, Youssouf Hadji, Morocco
 EFL Championship, Wolverhampton Wanderers, Andy Lonergan, England
 Süper Lig, Atiker Konyaspor, Ali Turan, Turkey
 Raiffeisen Super League, FC Lausanne-Sport, Xavier Margairaz, Switzerland
 Süper Lig, Galatasaray SK, Sabri Sarıoğlu, Turkey
 EFL Championship, Reading, Paul McShane, Republic of Ireland
 Sogaz Russian Football Championship, Terek Grozny, Rodolfo, Brazil
 K LEAGUE Classic, Suwon Samsung Bluewings, Lee Jung Soo, Korea Republic
 Alka Superliga, Heracles Almelo, Ramon Zomer, Holland
 Ligue 1, Dijon FCO, Jordan Lotiès, France
 Belgium Pro League, Sporting Lokeren, Davino Verhulst, Belgium
 Ligue 1, Football Club de Metz, Franck Signorino, France
 Premier League, Sunderland, Billy Jones, England
 LIGA Bancomer MX, Guadalajara, Carlos Salcido, Mexico
 Sogaz Russian Football Championship, FC Orenburg, Blagoy Georgiev, Bulgaria
 Primera División, Club Atlético Huracán, Patricio Toranzo, Argentina
 Campeonato Scotiabank, Universidad de Chile, Gustavo Lorenzetti, Argentina
 Hyundai A-League, Adelaide United, Marcelo Carrusca, Argentina
 Süper Lig, Bursaspor, Serdar Kurtuluş, Turkey
 Süper Lig, Antalyaspor, Serdar Özkan, Turkey
 LaLiga 1 I 2 I 3, UCAM Murcia CF, Mora, Spain
 EFL Championship, Brighton & Hove Albion, Bruno Saltor, Spain
 LaLiga 1 I 2 I 3, Córdoba CF, Pedro Ríos, Spain
 LaLiga 1 I 2 I 3, CD Lugo, Dealbert, Spain
 Alka Superliga, Newell's Old Boys, Diego Mateo, Argentina
 Belgium Pro League, RC Deportivo, Rubén, Spain
 Sogaz Russian Football Championship, FC Ural, Roman Pavlyuchenko, Russia
 Sogaz Russian Football Championship, Terek Grozny, Igor Lebedenko, Russia
 Calcio B, Latina, Daniele Corvia, Italy
 Süper Lig, Osmanlıspor, Erdal Kılıçaslan, Germany
 Süper Lig, Akhisar Belediyespor, Ricardo Vaz Tê, Portugal
 Premier League, Burnley, Dean Marney, England
 Primera División, Newell's Old Boys, Víctor Figueroa, Argentina
 K LEAGUE Classic, Pohang Steelers, Shin Hwa Yong, Korea Republic
 Ekstraklasa, Lech Poznań, Łukasz Trałka, Poland
 Alka Superliga, D.C. United, Álvaro Saborío, Costa Rica
 LIGA Bancomer MX, Tigres U.A.N.L., Damián Álvarez, Mexico
 LIGA Bancomer MX, Club Tijuana, Juan Carlos Medina, Mexico
 Alka Superliga, Montpellier Hérault SC, Anthony Vanden Borre, Belgium
 Liga Dimayor, Once Caldas, José De la Cuesta, Colombia
 LIGA Bancomer MX, Club Necaxa, Marcos González, Chile
 LaLiga 1 I 2 I 3, Levante UD, Pedro López, Spain
 Domino’s Ligue 2, US Orléans Loiret Football, Joël Sami, Congo DR
 Bundesliga 2, 1. FC Nürnberg, Mišo Brečko, Slovenia
 Alka Superliga, Sporting Lokeren, João Carlos, Brazil
 Alka Superliga, Hammarby IF, Petter Andersson, Sweden
 Campeonato Scotiabank, San Luis de Quillota, Braulio Leal, Chile
 Calcio A, Sampdoria, Christian Puggioni, Italy
 Primera División, Unión de Santa Fe, Nereo Fernández, Argentina
 EFL Championship, Birmingham City, Clayton Donaldson, Jamaica
 Hyundai A-League, Adelaide United, Eugene Galeković, Australia
 Süper Lig, Kardemir Karabükspor, Ólafur Ingi Skúlason, Iceland
 LIGA Bancomer MX, Tigres U.A.N.L., José Rivas, Mexico
 Calcio A, Sassuolo, Davide Biondini, Italy
 EFL Championship, Cardiff City, Peter Whittingham, England
 Major League Soccer, Portland Timbers, Liam Ridgewell, England
 LIGA Bancomer MX, Querétaro, Emanuel Villa, Argentina
 Liga NOS, FC Arouca, Artur, Portugal
 EFL Championship, Preston North End, Paul Gallagher, Scotland
 LIGA Bancomer MX, Santos Laguna, Emiliano Armenteros, Argentina
 LaLiga Santander, Club Olimpo, Nereo Champagne, Argentina
 Ekstraklasa, Lechia Gdańsk, Miloš Krasić, Serbia
 EFL Championship, Blackburn Rovers, Danny Graham, England
 EFL League One, Wigan Athletic, Adam Le Fondre, England
 EFL Championship, Burton Albion, Jamie Ward, Northern Ireland
 Alka Superliga, FC Midtjylland, Johan Dahlin, Sweden
 Major League Soccer, Toronto FC, Drew Moor, United States
 Major League Soccer, Toronto FC, Will Johnson, Canada
 EFL Championship, Queens Park Rangers, Joel Lynch, Wales
 Liga NOS, Vitória Setúbal, Edinho, Portugal
 Bundesliga 2, SpVgg Greuther Fuerth, Sebastian Freis, Germany
 EFL Championship, Nottingham Forest, Jack Hobbs, England
 Primera División, Gimnasia y Esgrima La Plata, Darío Bottinelli, Argentina
 Alka Superliga, Seongnam FC, Hwang Jin Sung, Korea Republic
 EFL Championship, Norwich City, Kyle Lafferty, Northern Ireland
 Tippeligaen, Odds BK, Steffen Hagen, Norway
 Calcio B, Novara, Magnus Troest, Denmark
 EFL Championship, Cardiff City, Matthew Connolly, England
 EFL Championship, Blackburn Rovers, Anthony Stokes, Republic of Ireland
 Alka Superliga, San Jose Earthquakes, Henok Goitom, Eritrea
 Bundesliga 2, SV Sandhausen, Markus Karl, Germany
 Liga NOS, Sheffield Wednesday, Modou Sougou, Senegal
 EFL Championship, Derby County, Ikechi Anya, Scotland
 Eredivisie, Willem II, Jordens Peters, Holland
 EFL Championship, Nottingham Forest, Armand Traoré, Senegal
 Premier League, Crystal Palace, Fraizer Campbell, England
 EFL Championship, Sheffield Wednesday, Kieran Lee, England
 EFL Championship, Sheffield Wednesday, Sam Hutchinson, England
 Primera División, Victoria, Carlos Luna, Argentina
 EFL Championship, Birmingham City, Ryan Shotton, England
 EFL Championship, Birmingham City, Stephen Gleeson, Republic of Ireland
 EFL Championship, Bristol City, Scott Golbourne, England
 EFL Championship, Birmingham City, David Cotterill, Wales
 LaLiga 1 I 2 I 3, CD Leganés, Sastre, Spain
 LaLiga 1 I 2 I 3, Wigan Athletic, Jordi Gómez, Spain
 LIGA Bancomer MX, Deportivo Toluca, Carlos Esquivel, Mexico
 LaLiga 1 I 2 I 3, Cádiz CF, Carpio, Spain
 Alka Superliga, Antalyaspor, Kadir Bekmezci, Turkey
 Belgium Pro League, KV Oostende, Nicklas Pedersen, Denmark
 EFL Championship, Ipswich Town, Brett Pitman, England
 Calcio A, Cagliari, Daniele Dessena, Italy
 Bundesliga 2, 1. FC Nürnberg, Rúrik Gíslason, Iceland
 Alka Superliga, Belgrano de Córdoba, José Rojas, Chile
 Major League Soccer, San Jose Earthquakes, Victor Bernárdez, Honduras
 LIGA Bancomer MX, Monterrey, Walter Ayoví, Ecuador
 LaLiga 1 I 2 I 3, Cádiz CF, Khalifa Sankaré, Senegal
 Major League Soccer, Vancouver Whitecaps FC, Christian Bolaños, Costa Rica
 Bundesliga, SV Darmstadt 98, Jan Rosenthal, Germany
 Belgium Pro League, KV Oostende, Joseph Akpala, Nigeria
 K LEAGUE Classic, Jeonbuk Hyundai Motors, Choi Chul Soon, Korea Republic
 Liga NOS, F. Santa Maria da Feira, Paulo Monteiro, Portugal
 Allsvenskan, AIK, Per Karlsson, Sweden
 Liga NOS, FC Arouca, Nuno Coelho, Portugal
 LIGA Bancomer MX, Cruz Azul, Julio César Domínguez, Mexico
 LaLiga 1 I 2 I 3, CD Tenerife, Suso Santana, Spain
 Eredivisie, Feyenoord, Pär Hansson, Sweden
 Süper Lig, Osmanlıspor, Mehmet Güven, Turkey
 LIGA Bancomer MX, Club América, José Guerrero, Mexico
 Calcio B, Perugia, Stefano Guberti, Italy
 Süper Lig, Kayserispor, Alain Traoré, Burkina Faso
 Calcio A, Crotone, Aleandro Rosi, Italy
 Bundesliga 2, TSV 1860 München, Karim Matmour, Algeria
 Belgium Pro League, KVC Westerlo, Yoni Buyens, Belgium
 Süper Lig, Bursaspor, Ricardo Faty, Senegal
 Domino’s Ligue 2, Stade Rennais FC, Habib Habibou, Central African Republic
 LaLiga Santander, R. Sporting, Canella, Spain
 Alka Superliga, Atalanta, Davide Bassi, Italy
 EFL Championship, Derby County, Alex Pearce, Republic of Ireland
 Liga NOS, Sporting Kansas City, Nuno André Coelho, Portugal
 Bundesliga 2, Fortuna Düsseldorf, Rouwen Hennings, Germany
 Tippeligaen, Molde FK, Harmeet Singh, Norway
 Major League Soccer, Columbus Crew SC, Ola Kamara, Norway
 Premier League, Burnley, George Boyd, Scotland
 Allsvenskan, IFK Göteborg, Søren Rieks, Denmark
 Primera División, Racing Club, Leandro Grimi, Argentina
 South African FL, Orlando Pirates, Happy Jele, South Africa
 Bundesliga, FC Ingolstadt 04, Tobias Levels, Germany
 Süper Lig, Osmanlıspor, Václav Procházka, Czech Republic
 Hyundai A-League, Brisbane Roar, Matt McKay, Australia
 Bundesliga 2, VfB Stuttgart, Hajime Hosogai, Japan
 Ekstraklasa, Legia Warszawa, Adam Hloušek, Czech Republic
 Allsvenskan, IF Elfsborg, Emir Bajrami, Sweden
 Belgium Pro League, Sporting Charleroi, Damien Marcq, France
 Domino’s Ligue 2, Nîmes Olympique, Karim Aït-Fana, Morocco
 LIGA Bancomer MX, Jaguares de Chiapas, Egidio Arévalo Ríos, Uruguay
 EFL Championship, Leeds United, Gaetano Berardi, Switzerland
 EFL League One, Bolton Wanderers, Mark Beevers, England
 EFL Championship, Brighton & Hove Albion, Kazenga LuaLua, Congo DR
 Belgium Pro League, Club Brugge KV, Sébastien Bruzzese, Belgium
 Allsvenskan, Malmö FF, Jo Inge Berget, Norway
 Premier League, Watford, Adlène Guédioura, Algeria
 Ligue 1, AS Nancy Lorraine, Guy-Roland Ndy Assembe, Cameroon
 Primera División, Belgrano de Córdoba, Mario Bolatti, Argentina
 Ligue 1, Wolverhampton Wanderers, Prince Oniangué, Congo
 Bundesliga 2, Getafe CF, Johannes van den Bergh, Germany
 Bundesliga 2, VfB Stuttgart, Jens Grahl, Germany
 EFL Championship, Huddersfield Town, Jonathan Hogg, England
 Süper Lig, Bursaspor, Joshua John, Holland
 Alka Superliga, Alanyaspor, Jonathan Ayité, Togo
 Calcio B, Sassuolo, Emanuele Terranova, Italy
 LaLiga 1 I 2 I 3, Levante UD, Natxo Insa, Spain
 Alka Superliga, Puebla, Damian Escudero, Argentina
 Bundesliga 2, VfL Bochum 1848, Stefano Celozzi, Germany
 Tippeligaen, Vålerenga Fotball, Mohammed Abdellaoue, Norway
 Domino’s Ligue 2, RC Strasbourg Alsace, Vincent Nogueira, France
 Calcio B, Bari, Riccardo Maniero, Italy
 EFL Championship, Nottingham Forest, Eric Lichaj, United States
 Liga NOS, Vitória Setúbal, Fábio Pacheco, Portugal
 LIGA Bancomer MX, Club León, Luis Montes, Mexico
 Ligue 1, Dijon FCO, Arnold Bouka Moutou, Congo
 Meiji Yasuda J1 League, Vissel Kobe, Nílton, Brazil
 Süper Lig, Adanaspor, Vladimir Koman, Hungary
 Alka Superliga, CD Tenerife, Marc Crosas, Spain
 Bundesliga 2, 1. FC Nürnberg, Even Hovland, Norway
 Ligue 1, Angers SCO, Gilles Sunu, France
 Bundesliga 2, FC St. Pauli Hamburg, Vegar Eggen Hedenstad, Norway
 Süper Lig, Gaziantepspor, Anton Putsila, Belarus
 Ligue 1, Toulouse Football Club, Dušan Veškovac, Serbia
 Campeonato Scotiabank, Universidad de Chile, Fabián Monzón, Argentina
 EFL Championship, Derby County, Jacob Butterfield, England
 Major League Soccer, Sporting Kansas City, Roger Espinoza, Honduras
 LaLiga Santander, UD Las Palmas, Montoro, Spain
 Alka Superliga, Cruz Azul, Joffre Guerrón, Ecuador
 Scottish Premiership, Aberdeen, Niall McGinn, Northern Ireland
 Premier League, Burnley, Ashley Barnes, Austria
 Campeonato Scotiabank, CD Huachipato, Omar Merlo, Argentina
 LIGA Bancomer MX, U.N.A.M., Javier Cortés, Mexico
 EFL Championship, Cardiff City, Sean Morrison, England
 Calcio B, Avellino, Benjamin Mokulu, Congo DR
 Ligue 1, FC Girondins de Bordeaux, Abdou Traoré, Mali
 LIGA Bancomer MX, Guadalajara, Jair Pereira, Mexico
 Sogaz Russian Football Championship, Terek Grozny, Zaur Sadaev, Russia
 Sogaz Russian Football Championship, FC Anzhi Makhachkala, Sergey Parshivlyuk, Russia
 Süper Lig, Gençlerbirliği SK, Sergey Politsevich, Belarus
 Süper Lig, Antalyaspor, Ondřej Čelůstka, Czech Republic
 Hyundai A-League, Brisbane Roar, Tommy Oar, Australia
 LaLiga 1 I 2 I 3, Getafe CF, Abdoul Karim Yoda, France
 Campeonato Scotiabank, Universidad Católica, Roberto Gutiérrez, Chile
 Calcio A, Sampdoria, Ante Budimir, Croatia
 Belgium Pro League, Sint-Truidense VV, Pierrick Valdivia, France
 Belgium Pro League, Sporting Lokeren, Georgios Galitsios, Greece
 Belgium Pro League, KV Kortrijk, Thomas Kaminski, Belgium
 Hyundai A-League, Melbourne Victory, Alan Baró, Spain
 Ligue 1, Dijon FCO, Mehdi Abeid, Algeria
 EFL League One, Charlton Athletic, Declan Rudd, England
 Süper Lig, Medipol Başakşehir FK, Mustafa Pektemek, Turkey
 EFL League One, Charlton Athletic, Ahmed Kashi, Algeria
 Alka Superliga, Colorado Rapids, Marco Pappa, Guatemala
 Calcio A, Palermo, Thiago Cionek, Poland
 Major League Soccer, SV Darmstadt 98, Florian Jungwirth, Germany
 Süper Lig, Adanaspor, Barış Memiş, Turkey
 Süper Lig, Alanyaspor, Candeias, Portugal
 LIGA Bancomer MX, Deportivo Toluca, Maikon Leite, Brazil
 Calcio A, Cagliari, Bartosz Salamon, Poland
 Sogaz Russian Football Championship, Rubin Kazan, Ruslan Kambolov, Russia
 Liga NOS, Boavista FC, Tengarrinha, Portugal
 EFL League One, Port Vale, Paulo Tavares, Portugal
 Österreichische Fußball-Bundesliga, FC Red Bull Salzburg, Paulo Miranda, Brazil
 LaLiga 1 I 2 I 3, Girona FC, Alcalá, Spain
 Eredivisie, Willem II, Erik Falkenburg, Holland
 Hellas Liga, Legia Warszawa, Aleksandar Prijović, Switzerland
 Calcio B, Perugia, Lorenzo Del Prete, Italy
 Calcio B, Frosinone, Robert Gucher, Austria
 Alka Superliga, CF Os Belenenses, Palmeira, Portugal
 Major League Soccer, Sporting Kansas City, Soni Mustivar, Haiti
 Süper Lig, Malmö FF, Enock Kofi Adu, Ghana
 Tippeligaen, Rosenborg BK, André Hansen, Norway
 Belgium Pro League, KV Oostende, Yassine El Ghanassy, Belgium
 Major League Soccer, Sporting Kansas City, Graham Zusi, United States
 Ligue 1, Angers SCO, Yoann Andreu, France
 Liga Dimayor, Patriotas Boyacá FC, Diego Álvarez, Colombia
 Belgium Pro League, SV Zulte-Waregem, Henrik Dalsgaard, Denmark
 Ligue 1, Stade Malherbe Caen, Hervé Bazile, France
 Bundesliga, Sport-Club Freiburg, Manuel Gulde, Germany
 Bundesliga, TSG 1899 Hoffenheim, Marco Terrazzino, Germany
 Ekstraklasa, Lech Poznań, Jasmin Burić, Bosnia and Herzegovina
 Premier League, Bournemouth, Adam Smith, England
 Bundesliga 2, 1. FC Union Berlin, Sören Brandy, Germany
 Meiji Yasuda J1 League, Vissel Kobe, Leandro, Brazil
 Süper Lig, Alanyaspor, Fabrice N'Sakala, Congo DR
 Alka Superliga, CS Marítimo, Alireza Haghighi, Iran
 Dawry Jameel, Al Shabab, Hassan Muath Fallatah, Saudi Arabia
 Calcio A, Fiorentina, Hrvoje Milić, Croatia
 Sogaz Russian Football Championship, Spartak Moscow, Evgeniy Makeev, Russia
 Süper Lig, FC Ufa, Marcinho, Brazil
 Alka Superliga, CS Marítimo, Papá Babacar Diawara, Senegal
 Alka Superliga, Randers FC, Mads Fenger, Denmark
 Major League Soccer, Montreal Impact, Hernán Bernardello, Argentina
 LaLiga 1 I 2 I 3, Córdoba CF, Héctor Rodas, Spain
 Bundesliga 2, VfL Bochum 1848, Timo Perthel, Germany
 Bundesliga 2, Queens Park Rangers, Sebastian Polter, Germany
 Bundesliga, FC Augsburg, Andreas Luthe, Germany
 LaLiga 1 I 2 I 3, R. Zaragoza, Leandro Cabrera, Uruguay
 Calcio B, Bologna, Archimede Morleo, Italy
 LIGA Bancomer MX, Jaguares de Chiapas, Oscar Jiménez, Mexico
 Bundesliga 2, TSV 1860 München, Fanol Përdedaj, Kosovo
 Süper Lig, Akhisar Belediyespor, Milan Lukač, Serbia
 Bundesliga, Eintracht Frankfurt, Heinz Lindner, Austria
 Hellas Liga, PAOK, Marin Leovac, Croatia
 Bundesliga 2, SpVgg Greuther Fuerth, Sebastian Mielitz, Germany
 Domino’s Ligue 2, FC Sochaux-Montbéliard, Florin Bérenguer, France
 LaLiga 1 I 2 I 3, UD Almería, Morcillo, Spain
 Raiffeisen Super League, BSC Young Boys, Loris Benito, Switzerland
 Ligue 1, OGC Nice, Arnaud Souquet, France
 K LEAGUE Classic, FC Seoul, Osmar, Spain
 Liga NOS, Vitória Setúbal, Pedro Trigueira, Portugal
 LaLiga Santander, R. Sporting, Borja Viguera, Spain
 Bundesliga 2, DSC Arminia Bielefeld, Julian Börner, Germany
 Alka Superliga, Terni, Armin Bačinovič, Slovenia
 LaLiga 1 I 2 I 3, R. Zaragoza, Javi Ros, Spain
 Bundesliga, RB Leipzig, Stefan Ilsanker, Austria
 LaLiga 1 I 2 I 3, Girona FC, Borja García, Spain
 Liga NOS, CS Marítimo, Edgar Costa, Portugal
 Liga NOS, Sporting CP, Radosav Petrović, Serbia
 Calcio A, Udinese, Marco Davide Faraoni, Italy
 Hellas Liga, Panathinaikos FC, Ivan Ivanov, Bulgaria
 Liga NOS, FC Arouca, José Manuel Velázquez, Venezuela
 Dawry Jameel, Al Ahli, Yasser Al Mosailem, Saudi Arabia
